ADPT,Adaptive Biotechnologies Corporation | USA
AMD,Advanced Micro Devices Inc. | USA
AGR.VI,AGRANA Beteiligungs-Aktiengesellschaft | Austria
AC.TO,Air Canada | Canada
ALB,Albemarle Corporation | USA
GOOGL,Alphabet Inc. | USA
AMAG.VI,AMAG Austria Metall AG | Austria
AMZN,Amazon.com Inc. | USA
AAL,American Airlines Group Inc. | USA
AIG,American International Group Inc. | USA
ABCB,Ameris Bancorp | USA
ANDR.VI,Andritz AG | Austria
AGLT.VI,Angel Telecom AG | Austria
AAPL,Apple Inc. | USA
ATS.VI,AT & S Austria Technologie & Systemtechnik Ak | Austria
T,AT&T Inc. | USA
ATH.VI,Athos Immobilien AG | Austria
ATRS.VI,Atrium European Real Estate Limited | Austria
AEM.VI,AUSTRIA EMAIL AG | Austria
AW2.VI,Autobank AG | Austria
AZO,AutoZone Inc. | USA
BANF,BancFirst Corporation | USA
BBD,Banco Bradesco S.A. | USA
BMA,Banco Macro S.A. | USA
BAC,Bank of America Corporation | USA
BCS,Barclays PLC | USA
^BFX,BEL 20 | Index
BENE.VI,BENE.VI | Austria
BET.VI,Betbull Holding SE | Austria
BIND.VI,BIND.VI | Austria
BKS.VI,BKS Bank AG | Austria
SQ,Block Inc. | USA
BPMC,Blueprint Medicines Corporation | USA
BXP,Boston Properties Inc. | USA
BSX,Boston Scientific Corporation | USA
BPTY.VI,BPTY.VI | Austria
AVGO,Broadcom Inc. | USA
BHD.VI,Burgenland Holding Aktiengesellschaft | Austria
BWO.VI,BUWOG AG | Austria
BWT.VI,BWT Aktiengesellschaft | Austria
AI,C3.ai Inc. | USA
CAI.VI,CA Immobilien Anlagen Aktiengesellschaft | Austria
^FCHI,CAC 40 | Index
COF,Capital One Financial Corporation | USA
CCL,Carnival Corporation & plc | USA
^BUK100P,Cboe UK 100 | Index
^VIX,CBOE Volatility Index | Index
CRF.VI,CEEREF SA | Austria
CVX,Chevron Corporation | USA
CFG,Citizens Financial Group Inc. | USA
CLF,Cleveland-Cliffs Inc. | USA
CWBR,CohBar Inc. | USA
CMA,Comerica Incorporated | USA
CWI.VI,Conwert Immobilien Invest SE | Austria
C8I.VI,C-QUADRAT Investment AG | Austria
DQ,Daqo New Energy Corp. | USA
^GDAXI,DAX PERFORMANCE-INDEX | Index
DOC.VI,DO & CO Aktiengesellschaft | Austria
^DJI,Dow Jones Industrial Average | Index
EAGB.VI,EAG-Beteiligungs Aktiengesellschaft | Austria
EWBC,East West Bancorp Inc. | USA
ECO.VI,ECO.VI | Austria
^CASE30,EGX 30 Price Return Index | Index
ENB.TO,Enbridge Inc. | Canada
EBS.VI,Erste Group Bank AG | Austria
^STOXX50E,ESTX 50 PR.EUR | Index
^N100,Euronext 100 Index | Index
EVN.VI,EVN AG | Austria
FACC.VI,FACC AG | Austria
FLU.VI,Flughafen Wien Aktiengesellschaft | Austria
FL,Foot Locker Inc. | USA
F,Ford Motor Company | USA
FKA.VI,Frauenthal Holding AG | Austria
FCX,Freeport-McMoRan Inc. | USA
^FTSE,FTSE 100 | Index
^KLSE,FTSE Bursa Malaysia KLCI | Index
GGB,Gerdau S.A. | USA
GBCI,Glacier Bancorp Inc. | USA
GGAL,Grupo Financiero Galicia S.A. | USA
GAGS.VI,Gurktaler AG | Austria
GVC.VI,GVC Holdings PLC | Austria
^HSI,HANG SENG INDEX | Index
DINO,HF Sinclair Corporation | USA
HIS.VI,HIRSCH SERVO AG | Austria
HEP,Holly Energy Partners L.P. | USA
HTI.VI,HTI High Tech Industries AG | Austria
HUS.VI,Hutter & Schrantz AG | Austria
HST.VI,Hutter & Schrantz Stahlbau AG | Austria
^BVSP,IBOVESPA | Index
^JKSE,IDX COMPOSITE | Index
IIA.VI,Immofinanz AG | Austria
IONS,Ionis Pharmaceuticals Inc. | USA
^MXX,IPC MEXICO | Index
JBLU,JetBlue Airways Corporation | USA
JKS,JinkoSolar Holding Co. Ltd. | USA
MAN.VI,Josef Manner & Comp. AG | Austria
KTCG.VI,Kapsch TrafficCom AG | Austria
KEY,KeyCorp | USA
^KS11,KOSPI Composite Index | Index
KRGS.VI,Kreco Realitaeten AG | Austria
KTM.VI,KTM AG | Austria
CIAG.VI,KTM Industries AG | Austria
LVS,Las Vegas Sands Corp. | USA
LNZ.VI,Lenzing Aktiengesellschaft | Austria
